Generators,Resources,Periods,Problem size,Generated energy variable classical,Commitment variable classical,Start variable classical,Shut variable classical,Operational cost classical,CPU time
0,biomass,0,480,21.0,,,,1376229.4403000025,0.2624517830008699
0,biomass,1,480,21.0,,,,1376229.4403000025,0.2624517830008699
0,biomass,2,480,21.0,,,,1376229.4403000025,0.2624517830008699
0,biomass,3,480,21.0,,,,1376229.4403000025,0.2624517830008699
0,biomass,4,480,21.0,,,,1376229.4403000025,0.2624517830008699
0,biomass,5,480,21.0,,,,1376229.4403000025,0.2624517830008699
0,biomass,6,480,21.0,,,,1376229.4403000025,0.2624517830008699
0,biomass,7,480,21.0,,,,1376229.4403000025,0.2624517830008699
0,biomass,8,480,21.0,,,,1376229.4403000025,0.2624517830008699
0,biomass,9,480,21.0,,,,1376229.4403000025,0.2624517830008699
0,biomass,10,480,21.0,,,,1376229.4403000025,0.2624517830008699
0,biomass,11,480,21.0,,,,1376229.4403000025,0.2624517830008699
0,biomass,12,480,21.0,,,,1376229.4403000025,0.2624517830008699
0,biomass,13,480,21.0,,,,1376229.4403000025,0.2624517830008699
0,biomass,14,480,21.0,,,,1376229.4403000025,0.2624517830008699
0,biomass,15,480,21.0,,,,1376229.4403000025,0.2624517830008699
0,biomass,16,480,21.0,,,,1376229.4403000025,0.2624517830008699
0,biomass,17,480,21.0,,,,1376229.4403000025,0.2624517830008699
0,biomass,18,480,21.0,,,,1376229.4403000025,0.2624517830008699
0,biomass,19,480,21.0,,,,1376229.4403000025,0.2624517830008699
0,biomass,20,480,21.0,,,,1376229.4403000025,0.2624517830008699
0,biomass,21,480,21.0,,,,1376229.4403000025,0.2624517830008699
0,biomass,22,480,21.0,,,,1376229.4403000025,0.2624517830008699
0,biomass,23,480,21.0,,,,1376229.4403000025,0.2624517830008699
1,hydroelectric_pumped_storage,0,480,42.0,,,,1376229.4403000025,0.2624517830008699
1,hydroelectric_pumped_storage,1,480,42.0,,,,1376229.4403000025,0.2624517830008699
1,hydroelectric_pumped_storage,2,480,42.0,,,,1376229.4403000025,0.2624517830008699
1,hydroelectric_pumped_storage,3,480,42.0,,,,1376229.4403000025,0.2624517830008699
1,hydroelectric_pumped_storage,4,480,42.0,,,,1376229.4403000025,0.2624517830008699
1,hydroelectric_pumped_storage,5,480,42.0,,,,1376229.4403000025,0.2624517830008699
1,hydroelectric_pumped_storage,6,480,42.0,,,,1376229.4403000025,0.2624517830008699
1,hydroelectric_pumped_storage,7,480,42.0,,,,1376229.4403000025,0.2624517830008699
1,hydroelectric_pumped_storage,8,480,42.0,,,,1376229.4403000025,0.2624517830008699
1,hydroelectric_pumped_storage,9,480,42.0,,,,1376229.4403000025,0.2624517830008699
1,hydroelectric_pumped_storage,10,480,42.0,,,,1376229.4403000025,0.2624517830008699
1,hydroelectric_pumped_storage,11,480,42.0,,,,1376229.4403000025,0.2624517830008699
1,hydroelectric_pumped_storage,12,480,42.0,,,,1376229.4403000025,0.2624517830008699
1,hydroelectric_pumped_storage,13,480,42.0,,,,1376229.4403000025,0.2624517830008699
1,hydroelectric_pumped_storage,14,480,42.0,,,,1376229.4403000025,0.2624517830008699
1,hydroelectric_pumped_storage,15,480,42.0,,,,1376229.4403000025,0.2624517830008699
1,hydroelectric_pumped_storage,16,480,42.0,,,,1376229.4403000025,0.2624517830008699
1,hydroelectric_pumped_storage,17,480,42.0,,,,1376229.4403000025,0.2624517830008699
1,hydroelectric_pumped_storage,18,480,42.0,,,,1376229.4403000025,0.2624517830008699
1,hydroelectric_pumped_storage,19,480,42.0,,,,1376229.4403000025,0.2624517830008699
1,hydroelectric_pumped_storage,20,480,42.0,,,,1376229.4403000025,0.2624517830008699
1,hydroelectric_pumped_storage,21,480,42.0,,,,1376229.4403000025,0.2624517830008699
1,hydroelectric_pumped_storage,22,480,42.0,,,,1376229.4403000025,0.2624517830008699
1,hydroelectric_pumped_storage,23,480,42.0,,,,1376229.4403000025,0.2624517830008699
2,natural_gas_fired_combined_cycle,0,480,607.0,1.0,,,1376229.4403000025,0.2624517830008699
2,natural_gas_fired_combined_cycle,1,480,607.0,1.0,,,1376229.4403000025,0.2624517830008699
2,natural_gas_fired_combined_cycle,2,480,607.0,1.0,,,1376229.4403000025,0.2624517830008699
2,natural_gas_fired_combined_cycle,3,480,607.0,1.0,,,1376229.4403000025,0.2624517830008699
2,natural_gas_fired_combined_cycle,4,480,607.0,1.0,,,1376229.4403000025,0.2624517830008699
2,natural_gas_fired_combined_cycle,5,480,607.0,1.0,,,1376229.4403000025,0.2624517830008699
2,natural_gas_fired_combined_cycle,6,480,607.0,1.0,,,1376229.4403000025,0.2624517830008699
2,natural_gas_fired_combined_cycle,7,480,607.0,1.0,,,1376229.4403000025,0.2624517830008699
2,natural_gas_fired_combined_cycle,8,480,607.0,1.0,,,1376229.4403000025,0.2624517830008699
2,natural_gas_fired_combined_cycle,9,480,607.0,1.0,,,1376229.4403000025,0.2624517830008699
2,natural_gas_fired_combined_cycle,10,480,607.0,1.0,,,1376229.4403000025,0.2624517830008699
2,natural_gas_fired_combined_cycle,11,480,607.0,1.0,,,1376229.4403000025,0.2624517830008699
2,natural_gas_fired_combined_cycle,12,480,607.0,1.0,,,1376229.4403000025,0.2624517830008699
2,natural_gas_fired_combined_cycle,13,480,607.0,1.0,,,1376229.4403000025,0.2624517830008699
2,natural_gas_fired_combined_cycle,14,480,607.0,1.0,,,1376229.4403000025,0.2624517830008699
2,natural_gas_fired_combined_cycle,15,480,607.0,1.0,,,1376229.4403000025,0.2624517830008699
2,natural_gas_fired_combined_cycle,16,480,607.0,1.0,,,1376229.4403000025,0.2624517830008699
2,natural_gas_fired_combined_cycle,17,480,607.0,1.0,,,1376229.4403000025,0.2624517830008699
